Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,budget
"95. Ebirah, Horror of the Deep",1966,1h 23m,PG,5.5,6.7K,,"Four men searching for one's brother are shipwrecked on Letchi Island, where a terrorist organization developing nuclear weapons have enslaved the natives of Infant Island and command monstrous crustacean named Ebirah.",https://www.imdb.com/title/tt0060464/?ref_=sr_i_95,,,
96. The Daydreamer,1966,1h 41m,Unrated,6.1,481,,"An anthology of fairytales by Hans Christian Andersen: ""The Little Mermaid"", ""The Emperor's New Clothes"", ""Thumbelina"", and ""The Garden of Paradise"".",https://www.imdb.com/title/tt0060283/?ref_=sr_i_96,,,
97. An Angel for Satan,1966,1h 30m,Approved,6.4,1.2K,,"At the end of the 19th century, in a little Italian village by a lake, an old statue is recovered. Soon a series of crimes start and the superstitious people of the village believe that the statue carries an ancient malediction .",https://www.imdb.com/title/tt0060109/?ref_=sr_i_97,,,
98. The Endless Summer,1966,1h 35m,Not Rated,7.6,6.5K,,"The crown jewel to ten years of Bruce Brown surfing documentaries. Brown follows two young surfers around the world in search of the perfect wave, and ends up finding quite a few in addition to some colorful local characters.",https://www.imdb.com/title/tt0060371/?ref_=sr_i_98,,,
99. The Red Angel,1966,1h 35m,Not Rated,7.8,2K,,"During the Sino-Japanese War, a young army nurse gives sympathy to her patients and falls in love with an impotent doctor who's addicted to morphine.",https://www.imdb.com/title/tt0139820/?ref_=sr_i_99,,,
100. The Wrong Box,1966,1h 45m,Approved,6.7,4.1K,,"In Victorian England, a fortune now depends on which of two brothers outlives the other, or can be made to have seemed to do so.",https://www.imdb.com/title/tt0061204/?ref_=sr_i_100,,,
101. The Glass Bottom Boat,1966,1h 50m,Approved,6.4,5.4K,,"After a series of misunderstandings, the head of an aerospace research laboratory begins to suspect that his new girlfriend is a Russian spy.",https://www.imdb.com/title/tt0060463/?ref_=sr_i_101,,,
102. Madame X,1966,1h 40m,Approved,6.9,2.6K,,"When her lover is killed, the wife of a wealthy man is convinced to fake her own death, which leads her into greater depths of depravity until fate reunites her with her long-lost son, who is unaware of her real identity.",https://www.imdb.com/title/tt0060645/?ref_=sr_i_102,,,
103. Night Games,1966,1h 45m,Not Rated,6.3,775,,The story about a man who's trying to get rid of his memories from his past. He grew up in an upper-class family in a castle and now revisits the castle with his fiancee.,https://www.imdb.com/title/tt0060740/?ref_=sr_i_103,,,
104. Cyborg 2087,1966,1h 26m,,5.2,726,,Earth's civilization of the future sends a cyborg back to the 1960s to change the future.,https://www.imdb.com/title/tt0060272/?ref_=sr_i_104,,,
105. The War of the Gargantuas,1966,1h 32m,G,6.2,3.7K,,"A giant, cannibalistic humanoid's rampage through Tokyo is halted by his more docile twin, but neither their reunion nor their scientist caretakers can prevent their eventual duel.",https://www.imdb.com/title/tt0060440/?ref_=sr_i_105,,,
106. The Hero,1966,1h 57m,Not Rated,8.3,5.4K,,"En route to Delhi to receive an award, a Bengali film star reevaluates his success through his fellow passengers, dreams, and past experiences.",https://www.imdb.com/title/tt0060742/?ref_=sr_i_106,,,
107. The Undertaker and His Pals,1966,1h 3m,R,4.5,1.3K,,"An undertaker and his two friends, who are restaurateurs, make business by going out on town and killing people; the restaurateurs use body parts for their menu, the entrepreneur buries the rest.",https://www.imdb.com/title/tt0061140/?ref_=sr_i_107,,,
108. Spinout,1966,1h 33m,Approved,5.8,2.4K,,Band singer/race driver Mike McCoy must choose between marrying a beautiful rich girl and driving her father's car in a prestigious race.,https://www.imdb.com/title/tt0061015/?ref_=sr_i_108,,,
109. L'armata Brancaleone,1966,2h,,7.7,5.4K,,"A group of misfits, headed by an incompetent knight named Brancaleone, set out to reach the small town of Aurocastro so that their leader can take possession of the fief.",https://www.imdb.com/title/tt0060125/?ref_=sr_i_109,,,
110. The Oscar,1966,1h 59m,Approved,5.2,1.5K,,"Arrogant Hollywood actor Frankie Fane is nominated for the Best Actor Academy Award. His friend Hymie Kelly recalls their life together, Frankie's ruthless struggle to the top, and the people Frankie has used and abused to get there.",https://www.imdb.com/title/tt0060801/?ref_=sr_i_110,,,
111. Rasputin: The Mad Monk,1966,1h 31m,Approved,6.2,3.6K,,"Thrown out of his monastery for licentious and drunken behavior, Rasputin travels to St Petersburg in pursuit of wealth and prestige. He soon gains influence at court with his powers of healing and of hypnotism.",https://www.imdb.com/title/tt0059635/?ref_=sr_i_111,,,
"112. What's Up, Tiger Lily?",1966,1h 20m,PG,5.8,10K,,"Woody Allen re-dubs the Japanese spy film Kokusai himitsu keisatsu: Kagi no kagi (1965), turning it into a comedy about an agent pursuing the world's greatest egg salad recipe.",https://www.imdb.com/title/tt0061177/?ref_=sr_i_112,,,
113. Gunpoint,1966,1h 26m,Not Rated,6.1,938,,"A young, determined sheriff and his posse chase a gang of murderous train robbers, and a kidnapped woman into New Mexico.",https://www.imdb.com/title/tt0060483/?ref_=sr_i_113,,,
